"sample_id","fo","k","j","i","fm","fluorojip_FvFm","biolyzer_FvFm","fluorojip_Mo","biolyzer_Mo","fluorojip_ABS_RC","biolyzer_ABS_RC","fluorojip_phiPo","biolyzer_TRo_ABS","fluorojip_phiEo","biolyzer_ETo_ABS","fluorojip_PI_abs","biolyzer_PI_abs1","biolyzer_PI_abs2","diff_FvFm","diff_Mo","diff_ABS_RC","diff_TRo_ABS","diff_ETo_ABS","diff_PI_abs1","diff_PI_abs2"
"pisum 1 oct 2000-51",1287,2030,2450,3136,3224,0.600806,0.6008,1.534331,1.5343,4.253383,4.2534,0.600806,0.6008,0.240074,0.2401,0.235493,0.2355,0.2355,5.99999999995049e-06,3.09999999998922e-05,-1.69999999997117e-05,5.99999999995049e-06,-2.59999999999982e-05,-6.99999999997925e-06,-6.99999999997925e-06
"pisum 1 oct 2000-52",964,1935,2745,4028,4073,0.763319,0.7633,1.249276,1.2493,2.856992,2.8569,0.763319,0.7633,0.32605,0.326,0.841722,0.8414,0.8414,1.89999999999912e-05,-2.4000000000024e-05,9.1999999999981e-05,1.89999999999912e-05,4.99999999999945e-05,0.000321999999999933,0.000321999999999933
"pisum 1 oct 2000-53",856,1643,2436,3700,3796,0.774499,0.7745,1.070748,1.0707,2.572507,2.5725,0.774499,0.7745,0.358272,0.3583,1.149209,1.1492,1.1492,-9.99999999917733e-07,4.8000000000048e-05,7.00000000009027e-06,-9.99999999917733e-07,-2.8000000000028e-05,8.99999999992573e-06,8.99999999992573e-06
"pisum 1 oct 2000-54",909,1664,2281,3744,3912,0.767638,0.7676,1.005661,1.0057,2.867453,2.8676,0.767638,0.7676,0.416922,0.4169,1.369604,1.3691,1.3691,3.80000000000935e-05,-3.90000000001223e-05,-0.000147000000000119,3.80000000000935e-05,2.2000000000022e-05,0.00050400000000006,0.00050400000000006
"pisum 1 oct 2000-55",904,1749,2492,3897,4046,0.776569,0.7766,1.075748,1.0757,2.740854,2.7407,0.776569,0.7766,0.384083,0.3841,1.240945,1.2414,1.2414,-3.10000000000032e-05,4.7999999999826e-05,0.00015400000000021,-3.10000000000032e-05,-1.69999999999892e-05,-0.000455000000000094,-0.000455000000000094
"pisum 1 oct 2000-56",869,1892,2713,3302,3527,0.753615,0.7536,1.539503,1.5395,2.944592,2.9445,0.753615,0.7536,0.230791,0.2308,0.458536,0.4583,0.4583,1.49999999999872e-05,2.99999999997524e-06,9.1999999999981e-05,1.49999999999872e-05,-9.000000000009e-06,0.000236000000000014,0.000236000000000014
"pisum 1 oct 2000-57",796,1552,2292,3387,3652,0.782037,0.782,1.058824,1.0588,2.584775,2.5849,0.782037,0.782,0.372399,0.3724,1.261914,1.2617,1.2617,3.69999999999537e-05,2.4000000000024e-05,-0.000125000000000153,3.69999999999537e-05,-1.00000000002876e-06,0.000213999999999936,0.000213999999999936
"pisum 1 oct 2000-58",898,2055,3423,3756,3982,0.774485,0.7745,1.500649,1.5006,2.366567,2.3666,0.774485,0.7745,0.140382,0.1404,0.32127,0.3214,0.3214,-1.49999999999872e-05,4.89999999999657e-05,-3.30000000001718e-05,-1.49999999999872e-05,-1.79999999999902e-05,-0.000130000000000019,-0.000130000000000019
"pisum 1 oct 2000-59",921,2083,3278,3693,3829,0.759467,0.7595,1.598349,1.5983,2.596555,2.5964,0.759467,0.7595,0.143902,0.1439,0.284269,0.2843,0.2843,-3.29999999999497e-05,4.89999999999657e-05,0.000154999999999905,-3.29999999999497e-05,2.000000000002e-06,-3.10000000000032e-05,-3.10000000000032e-05
"pisum 1 oct 2000-60",765,1449,2149,3587,3730,0.794906,0.7949,0.922766,0.9228,2.486933,2.4869,0.794906,0.7949,0.423861,0.4238,1.780307,1.78,1.78,5.99999999995049e-06,-3.39999999999785e-05,3.30000000001718e-05,5.99999999995049e-06,6.09999999999777e-05,0.000307000000000057,0.000307000000000057
